State/Union Territory,year,PAYMENTS,INFLATION,VACCINE,POPULATION,STRIGENCY DUMMY,GOOGLE MOBILITY 
Andaman & Nicobar,2021,1.13,6.3,285585.5,417036,4,18.04523107
Andaman & Nicobar,2022,0.79,10.5,336176,399001,1,66.62654321
Andhra Pradesh,2021,154.8,9,33778748.5,53903393,2,-8.761448141
Andhra Pradesh,2022,87.06,5.24,45701436.5,91702478,1,20.7422619
Assam,2021,62.87,8.5,18662344,35607039,2,-10.05440313
Assam,2022,38.77,5.56,22174472.5,35998752,1,36.75208333
Bihar,2021,126.19,7.3,49274454.5,124799926,6,-4.118024513
Bihar,2022,73.03,5.71,63388620,128500364,1,45.5122807
Chandigarh,2021,8.15,4.8,835712.5,1158473,3,-22.05205479
Chandigarh,2022,4.49,4.24,1031935,1158040,1,-7.666666667
Chhattisgarh,2021,54.32,8,14016884,29436231,4,-15.29295499
Chhattisgarh,2022,31.28,5.68,14707698.5,32199722,1,46.21547619
Dadra & Nagar Haveli,2021,0.58,4.2,341652,615724,3,-2.206849315
Dadra & Nagar Haveli,2022,0.38,6.47,397416,453008,1,27.2625
Daman & Diu,2021,2.22,6.9,262649.5,615724,3,-13.656621
Daman & Diu,2022,1.3,5.95,34720.5,320989,1,9.111111111
Delhi,2021,105,3.3,13110363,18710922,4,-29.08995434
Delhi,2022,59.41,6.14,3545409.5,19301096,1,-12.31111111
Goa,2021,13.34,6.9,4732265.5,1586250,3,-16.54520548
Goa,2022,7.58,6.12,162165.5,1521992,1,9.3
Gujarat,2021,174.23,5.9,44098503.5,63872399,3,-10.30950846
Gujarat,2022,97.94,5.95,9077547,70400153,1,24.73039216
Haryana,2021,87.66,5.9,53013885,28204692,3,-11.45678705
Haryana,2022,47.07,7.23,9077547,28900667,1,17.14280303
Himachal Pradesh,2021,25.12,5.2,14665685,7451955,4,-4.805707763
Himachal Pradesh,2022,14.56,6.72,772935,7503010,1,31.89027778
Jammu & Kashmir,2021,25.34,6.3,9875490,13606320,3,172.1424658
Jammu & Kashmir,2022,14,6.74,1989006.5,14999297,1,276.5333333
Jharkhand,2021,48.57,6,7003145.5,38592948,5,-12.03978082
Jharkhand,2022,27.96,6.19,4607349.5,40100376,1,38.99466667
Karnataka,2021,250.25,5.8,42043609.5,67562686,2,-14.13627928
Karnataka,2022,147.49,6.2,51822737.5,69599762,1,18.0311828
Kerala,2021,171.25,6,23431795,35699443,3,-10.28493151
Kerala,2022,105.56,4.36,26851968.5,34698876,1,27.80260417
Lakshadweep,2021,0.15,11.1,51372.5,73183,4,-30.48630137
Lakshadweep,2022,0.1,9.66,58013.5,66001,1,-16.125
Madhya Pradesh,2021,120.43,7.6,50256795.5,85358965,2,-13.66001054
Madhya Pradesh,2022,69.24,6.52,57786495,85602417,1,34.66939103
Maharashtra,2021,482.3,6.8,65505006,123144233,2,-13.44368752
Maharashtra,2022,274.11,6.47,80887269.5,124904071,1,27.1463964
Manipur,2021,6.18,6.7,1148467.5,3091545,4,-26.65123288
Manipur,2022,3.57,8.225,1412414.5,3436948,1,21.69949917
Meghalaya,2021,4.83,9.2,1046835.5,3366710,2,-20.90392216
Meghalaya,2022,3.13,5.95,1212352,3772103,1,38.79190207
Mizoram,2021,3.7,10.3,656034,1239244,3,-38.43805175
Mizoram,2022,2.8,10.62,124625,1308967,1,1.309259259
Nagaland,2021,3.36,4.8,784396,2249695,5,-31.26109733
Nagaland,2022,2.05,11.788,144224.5,2073074,1,19.02925046
Odisha,2021,93.03,7.9,24619810.5,46356334,5,-10.68325232
Odisha,2022,60.94,4.54,7712530.5,47099370,1,38.19811828
Puducherry,2021,8.96,8.4,8402384,1413542,3,-13.71415525
Puducherry,2022,4.97,7.915,138994,1646050,1,13.16944444
Panjab,2021,100.05,5.3,12838308,30141373,7,-15.37379392
Panjab,2022,55.21,5.66,7796956.5,30501026,1,11.9115942
Rajasthan,2021,115.38,4.4,47630040.5,81032689,3,-11.74794521
Rajasthan,2022,64.35,4.445,11201654,79502477,1,35.5004902
Sikkim,2021,3.74,7.1,63006340.5,690251,4,-11.27178082
Sikkim,2022,2.19,15.16,16390747,658019,1,32.53833333
Tamil Nadu,2021,465.64,7.5,725897251,77841267,3,-8.537650477
Tamil Nadu,2022,274.4,5.56,214579874.5,83697770,1,24.6040404
Telangana,2021,145.51,8.7,23103427,38510982,2,-13.27696139
Telangana,2022,78.21,6.72,30787477.5,38157311,1,14.65530303
Tripura,2021,7.39,9.5,2262349.5,4169794,2,-11.38843227
Tripura,2022,4.12,6.298,2556179.5,4184959,1,34.96851852
Uttar Pradesh,2021,295.82,6.1,99474478.5,237882725,2,-7.140483057
Uttar Pradesh,2022,175.34,6.71,155132519.5,231502578,1,44.09649123
Uttarakhand,2021,37.24,8.1,6976926,11250858,3,-4.883561644
Uttarakhand,2022,21.93,6.38,8625969.5,11700099,1,32.4297619
West Bengal,2021,179.82,8.7,51804686.5,99609303,4,-11.49145466
West Bengal,2022,107.2,6.7,68195433.5,100896618,1,28.01904762
